iter	Logloss
0	0.6684230862
1	0.6501811685
2	0.6308975164
3	0.6140088257
4	0.5973398199
5	0.582330512
6	0.5689607407
7	0.5597175618
8	0.5455631395
9	0.5400503192
10	0.5325660386
11	0.526909907
12	0.5219249619
13	0.514976026
14	0.5098650945
15	0.5071372068
16	0.5036470672
17	0.4996040927
18	0.4957738658
19	0.4911029335
20	0.4875703923
21	0.4845756123
22	0.4819126166
23	0.4751932178
24	0.4725253841
25	0.4674156772
26	0.4644641098
27	0.4620343795
28	0.4597571062
29	0.4588669893
30	0.4572631379
31	0.4554224395
32	0.4529147172
33	0.4506764154
34	0.4499711881
35	0.4485161027
36	0.4468825191
37	0.4462393217
38	0.4448984523
39	0.4440601152
40	0.442846333
41	0.4416175509
42	0.4395150585
43	0.4386143079
44	0.4375530168
45	0.4367123826
46	0.4350370948
47	0.4338564335
48	0.4331126387
49	0.4324171223
50	0.4321135653
51	0.4303656635
52	0.4290627329
53	0.4277724808
54	0.4273580121
55	0.4266358841
56	0.4258972615
57	0.4249560724
58	0.4246571185
59	0.4239880626
60	0.4223749361
61	0.421464192
62	0.4203592263
63	0.4194461226
64	0.4187126008
65	0.418248748
66	0.4171784599
67	0.4165450192
68	0.4154240533
69	0.414321299
70	0.4135074156
71	0.4131178811
72	0.4117974779
73	0.4112301129
74	0.4107277957
75	0.4095824089
76	0.4093023046
77	0.4086676749
78	0.4080798997
79	0.4080502952
80	0.4074504325
81	0.407308071
82	0.4062429172
83	0.4051713256
84	0.404889439
85	0.4041326638
86	0.403237433
87	0.4032355372
88	0.4029167801
89	0.4019151964
90	0.4008925258
91	0.3996502107
92	0.3990689559
93	0.3983568724
94	0.3980605806
95	0.397338705
96	0.3970564947
97	0.396449656
98	0.3958641138
99	0.3955196874
100	0.3950388101
101	0.394479064
102	0.3940077953
103	0.3933287019
104	0.3927852877
105	0.3925270594
106	0.3914921115
107	0.3909471694
108	0.389513377
109	0.3893254166
110	0.3890484772
111	0.3882332531
112	0.3881127382
113	0.3876304422
114	0.3873482777
115	0.3870286012
116	0.3866549503
117	0.3862610943
118	0.3858498188
119	0.3858492652
120	0.3852720556
121	0.3840397033
122	0.3836448923
123	0.3830728122
124	0.3829701204
125	0.3816583438
126	0.3813272188
127	0.3804101484
128	0.3801128732
129	0.3796723208
130	0.379485702
131	0.378773437
132	0.3784757467
133	0.3779115252
134	0.3777344021
135	0.3770958721
136	0.3766850242
137	0.3762177507
138	0.3758599223
139	0.3751485911
140	0.3747052624
141	0.3742575366
142	0.3739865388
143	0.3728795566
144	0.372296395
145	0.3716954204
146	0.3711262997
147	0.3709625768
148	0.3706523986
149	0.3703310894
150	0.3698245456
151	0.3694436754
152	0.3689133787
153	0.3683792845
154	0.3675604461
155	0.3665617142
156	0.3655253109
157	0.3650022532
158	0.3643898957
159	0.3635242604
